session_id,start_timestamp,end_timestamp,duration_minutes,count_aggressive,count_normal,count_slow,accel_mag_mean,accel_mag_std,gyro_mag_mean,gyro_mag_std,maintenance_urgency
session_0,818922.0,820122.0,20.0,0,9,6,0.8800153440816189,0.623010114784074,0.18768385966983236,0.1380312025532022,0.0
session_1,820122.0,821322.0,20.0,0,9,6,0.8218898981065086,0.4502371043922212,0.1503702458431386,0.15500739108617845,0.0
session_2,821322.0,822522.0,20.0,0,9,6,0.6420540772683909,0.4623247734314923,0.15234748270123463,0.15926299765554044,0.0
session_3,822522.0,823722.0,20.0,0,9,6,1.0626020781600674,0.48750994335538217,0.15780571299980972,0.15340285756494962,0.0
session_4,823722.0,824922.0,20.0,0,9,6,0.9006486365536527,0.4379865655942798,0.16085494492175928,0.14942760770721814,0.0
session_5,824922.0,826122.0,20.0,0,9,6,1.4445143472572772,1.2188405503209587,0.17808981912151683,0.1486549749253073,0.0
session_6,826122.0,827322.0,20.0,0,9,6,1.4515624927642203,0.3628828135423517,0.16420648598882587,0.15471020903766608,0.0
session_7,827322.0,828522.0,20.0,0,9,6,1.0760291930739387,0.4705794193501789,0.14097274908809748,0.16290246501995642,0.0
session_8,828522.0,829722.0,20.0,0,9,6,0.8658006720650218,0.44033377743885654,0.14966239559276315,0.15565265408316892,0.0
session_9,829722.0,830922.0,20.0,0,9,6,0.9982844411529713,0.5141322173196005,0.16389322542236273,0.1559728012007985,0.0
session_10,830922.0,832122.0,20.0,0,9,6,1.096621704661455,0.5480167043246611,0.1459109073135111,0.16433892200581776,0.0
session_11,832122.0,833322.0,20.0,0,9,6,0.9784390629048668,0.436615987428925,0.14988542989467887,0.15344742188916094,0.0
session_12,833322.0,834522.0,20.0,0,6,4,0.9350080125616664,0.40170872917858413,0.13451774171240766,0.16344481795642823,0.0
session_13,834522.0,835722.0,20.0,0,9,6,0.7021386020419509,0.511584883922152,0.14909826640910762,0.15745609470488986,0.0
session_14,835722.0,836922.0,20.0,0,9,6,1.0584678107903835,0.850826602986172,0.1721644017491882,0.15458252983914433,0.0
session_15,836922.0,838122.0,20.0,0,9,6,0.817122397041089,0.6101387710187749,0.16100787314921752,0.14787651410903738,0.0
session_16,838122.0,839322.0,20.0,0,9,6,0.9101961771676925,0.3996814479825223,0.17061231772986002,0.14750874419873178,0.0
session_17,839322.0,840522.0,20.0,0,9,6,0.6896763879622736,0.4844609642237384,0.16739713821181354,0.14907993451913282,0.0
session_18,840522.0,841722.0,20.0,0,9,6,1.0830328735337535,0.34087166752361825,0.18754145856769042,0.14370832750592658,0.0
session_19,841722.0,842922.0,20.0,0,9,6,1.0018458752749877,0.48406163668644964,0.13999275001686798,0.1611795323436241,0.0
session_20,842922.0,844122.0,20.0,0,9,6,1.0407834090294965,0.38451455684298924,0.1843018544050055,0.14763576585584776,0.0
session_21,844122.0,845322.0,20.0,0,9,6,1.4514361528273505,0.6630641042894306,0.19239756204820105,0.14270788376512608,0.0
session_22,845322.0,846522.0,20.0,0,9,6,0.9724838018339476,0.34845429962274554,0.16312961418266875,0.1513204163894896,0.0
session_23,846522.0,847722.0,20.0,0,9,6,1.2843008485809628,0.5501573306874593,0.18322828630684046,0.15082317462851033,0.0
session_24,847722.0,848922.0,20.0,0,6,4,1.522918683652314,0.5235363616816678,0.16831924747335258,0.1482698751829803,0.0
session_25,848922.0,850122.0,20.0,0,9,6,1.0425495880639182,0.4258091215314358,0.19115391362242917,0.13476305761299232,0.0
session_26,850122.0,851322.0,20.0,0,9,6,0.8132955145386495,0.44251478961074,0.18416694171599576,0.1411277757465639,0.0
session_27,851322.0,852522.0,20.0,0,9,6,1.1115563054785071,0.6958320271851381,0.1992705882172227,0.13607830538107688,0.0
session_28,852522.0,853722.0,20.0,0,9,6,1.3789403073599247,0.5019082921443858,0.2118658293053672,0.12960662459272793,0.0
session_29,853722.0,854922.0,20.0,0,9,6,0.9457137205024504,0.48887422585124635,0.18364977903210092,0.14533998916489768,0.0
session_30,854922.0,856122.0,20.0,0,9,6,1.0104465732734549,0.4441978544478814,0.17956950559641202,0.14403357894369706,0.0
session_31,856122.0,857322.0,20.0,0,9,6,1.5809103102172244,0.6763119997443052,0.2227132818029645,0.12410114163417081,0.0
session_32,857322.0,858522.0,20.0,0,9,6,1.4458959678231686,0.5959841464018087,0.20922707137887306,0.13125784189962353,0.0
session_33,858522.0,859722.0,20.0,0,9,6,1.036048996190135,0.5424415985903768,0.19551531496946079,0.15209172480754604,0.0
session_34,859722.0,860922.0,20.0,0,9,6,0.9886186088020484,0.5888447349895911,0.19610225789765004,0.1496696903492476,0.0
session_35,860922.0,862122.0,20.0,0,9,6,0.922903943991407,0.4095297932668363,0.172498522393063,0.1472349274204254,0.0
session_36,862122.0,863322.0,20.0,0,9,6,1.0288159619510588,0.4156384027607549,0.19543727090612037,0.12910776458504897,0.0
session_37,863322.0,864522.0,20.0,0,6,4,1.0284582307990997,0.32623646113145394,0.18765378293274254,0.13776064839666993,0.0
session_38,864522.0,865722.0,20.0,0,9,6,1.0082251255366987,0.4274500498755369,0.1761162313842083,0.1427627829889774,0.0
session_39,865722.0,866922.0,20.0,0,9,6,0.9263453176409321,0.5197063588327813,0.18083635791684385,0.13843327371621592,0.0
session_40,866922.0,868122.0,20.0,0,9,6,0.9003366149141996,0.5515927949501435,0.18139789572991302,0.14258023631610986,0.0
session_41,868122.0,869322.0,20.0,0,9,6,1.0708643875934574,0.4932733614907413,0.1664971770018818,0.15665780902161275,0.0
session_42,869322.0,870522.0,20.0,0,9,6,1.055591270961358,0.5752092048716023,0.1756825217336531,0.14650329017599745,0.0
session_43,870522.0,871722.0,20.0,0,9,6,1.0702300668036788,0.36579516384271754,0.2173511831012567,0.12388271790859787,0.0
session_44,871722.0,872922.0,20.0,0,9,6,1.1625919199025365,0.4164690336246324,0.20878256962293923,0.1292925691893929,0.0
